year,quarter,BCI
2007,Q2,4.8
2007,Q3,-3.9
2007,Q4,-7.2
2008,Q1,-19.7
2008,Q2,-25.7
2008,Q3,-36.3
2008,Q4,-45.3
2009,Q1,-28.2
2009,Q2,4.8
2009,Q3,24.6
2009,Q4,25.8
2010,Q1,25.5
2010,Q2,21.5
2010,Q3,11.9
2010,Q4,9.6
2011,Q1,13.7
2011,Q2,8.1
2011,Q3,-9.7
2011,Q4,-9.3
2012,Q1,12
2012,Q2,1.1
2012,Q3,4.2
2012,Q4,12.8
2013,Q1,16.7
2013,Q2,24
2013,Q3,31.7
2013,Q4,37.2
2014,Q1,37.3
2014,Q2,32.3
2014,Q3,28.6
2014,Q4,16.8
2015,Q1,16.2
2015,Q2,22.4
2015,Q3,15.6
2015,Q4,11.4
2016,Q1,0.8
2016,Q2,-10.2
2016,Q3,-9.8
2016,Q4,-8.7
2017,Q1,6.7
2017,Q2,-8
2017,Q3,-3.4
2017,Q4,-1
2018,Q1,7
2018,Q2,-0.2
2018,Q3,-12.3
2018,Q4,-16.4
2019,Q1,-16.6
2019,Q2,-10.3
2019,Q3,-20.6
2019,Q4,1.3
2020,Q1,-5.3
2020,Q2,
2020,Q3,-19
2020,Q4,10
2021,Q1,38.5
2021,Q2,47
2021,Q3,35.8
2021,Q4,27.6
2022,Q1,18.6
2022,Q2,-5
2022,Q3,-16.9
2022,Q4,-23.4
2023,Q1,2.5
2023,Q2,6.1
2023,Q3,2.9
2023,Q4,4.2
2024,Q1,14.4
2024,Q2,16.7
