Date,interest rate 
30-Jun-24,6.94
31-May-24,7.26
30-Apr-24,6.99
31-Mar-24,7.05
29-Feb-24,7.03
31-Jan-24,7.07
31-Dec-23,6.83
30-Nov-23,7.09
31-Oct-23,6.91
30-Sep-23,6.64
31-Aug-23,7.01
31-Jul-23,6.74
30-Jun-23,6.4
31-May-23,6.2
30-Apr-23,5.91
31-Mar-23,5.81
28-Feb-23,5.86
31-Jan-23,5.24
31-Dec-22,4.88
30-Nov-22,4.27
31-Oct-22,3.75
30-Sep-22,3.52
31-Aug-22,3.29
31-Jul-22,3.13
30-Jun-22,3.08
31-May-22,2.8
30-Apr-22,2.32
31-Mar-22,2.92
28-Feb-22,2.22
31-Jan-22,1.98
31-Dec-21,1.98
30-Nov-21,1.82
31-Oct-21,1.84
30-Sep-21,1.78
31-Aug-21,2.24
31-Jul-21,1.76
30-Jun-21,2.38
31-May-21,2.27
30-Apr-21,1.69
31-Mar-21,2.46
28-Feb-21,3.14
31-Jan-21,1.74
31-Dec-20,1.77
30-Nov-20,1.64
31-Oct-20,1.64
30-Sep-20,1.62
31-Aug-20,1.62
31-Jul-20,1.68
30-Jun-20,1.44
31-May-20,1.1
30-Apr-20,2.1
31-Mar-20,2.3
29-Feb-20,2.47
31-Jan-20,2.58
31-Dec-19,2.47
30-Nov-19,2.48
31-Oct-19,2.48
30-Sep-19,2.1
31-Aug-19,2.37
31-Jul-19,2.44
30-Jun-19,2.33
31-May-19,2.45
30-Apr-19,2.51
31-Mar-19,2.42
28-Feb-19,2.42
31-Jan-19,2.46
31-Dec-18,2.54
30-Nov-18,2.44
31-Oct-18,2.51
30-Sep-18,2.51
31-Aug-18,2.49
31-Jul-18,2.41
30-Jun-18,2.48
31-May-18,2.51
30-Apr-18,2.77
31-Mar-18,2.58
28-Feb-18,2.72
31-Jan-18,2.59
31-Dec-17,2.53
30-Nov-17,2.49
31-Oct-17,2.33
30-Sep-17,2.3
31-Aug-17,2.29
31-Jul-17,2.24
30-Jun-17,2.28
31-May-17,2.11
30-Apr-17,2.26
31-Mar-17,2.34
28-Feb-17,2.42
31-Jan-17,2.29
